time      int	label
658.0     171	j1
1011156.0 171	j2
271.0     171	o1
380.0     171	o2
302.0     171	o3
457.0     171	o4
60.0      252	g1
71761.0   273	g2
99.0      257	g3
71186.0   278	g4
