time      int	label
658.0     2195	j1
1011156.0 741	j2
271.0     2193	o1
380.0     739	o2
302.0     1951	o3
457.0     497	o4
60.0      425	g1
71761.0   425	g2
99.0      420	g3
71186.0   420	g4
