time      int	label
658.0     2.87	j1
1011156.0 8.50	j2
271.0     2.87	o1
380.0     8.52	o2
302.0     3.22	o3
457.0     12.67	o4
60.0      6.35	g1
71761.0   6.35	g2
99.0      6.42	g3
71186.0   6.42	g4
