time      int	label
658.0     30	j1
1011156.0 30	j2
271.0     30	o1
380.0     30	o2
302.0     28	o3
457.0     28	o4
60.0      57	g1
71761.0   57	g2
99.0      50	g3
71186.0   50	g4
