time      int	label
658.0     129.0	j1
1011156.0 129.0	j2
271.0     129.0	o1
380.0     129.0	o2
302.0     129.0	o3
457.0     129.0	o4
60.0      225.0	g1
71761.0   246.0	g2
99.0      230.0	g3
71186.0   251.0	g4
